"","goals","wins","losses","touches","own_goals","total_yel_card","total_red_card","total_pass","total_scoring_att","total_offside","hit_woodwork","big_chance_missed","total_tackle","total_clearance","clearance_off_line","dispossessed","saves","clean_sheet","penalty_save","total_high_claim","punches","points"
"Sunderland",45,12,15,22628,1,57,5,14166,532,98,10,35,820,1291,16,441,0,13,0,62,40,47
"Manchester.United",78,23,4,26671,1,56,3,18870,618,102,15,50,693,1053,2,471,0,15,0,45,16,80
"Liverpool",59,17,14,24941,3,63,2,16728,582,87,12,43,908,1073,6,493,0,14,0,74,26,58
"Fulham",49,11,11,24796,5,52,1,16345,547,100,10,38,799,1513,12,559,0,14,1,82,37,49
"Tottenham.Hotspur",55,16,8,25438,1,51,2,16791,657,59,15,51,754,1363,6,560,0,8,2,68,50,62
"Aston.Villa",48,12,14,22681,1,71,2,14611,506,92,19,57,844,1116,7,350,0,7,0,30,25,48
"Stoke.City",46,13,18,18195,2,68,2,10349,482,74,20,39,716,1316,5,449,0,9,2,64,20,46
"Manchester.City",60,21,9,25892,0,71,5,17768,546,103,16,51,826,1206,2,520,0,18,1,66,27,71
"Arsenal",72,19,8,28629,1,65,6,20150,654,93,23,88,772,1077,4,601,0,13,2,56,25,68
"Bolton.Wanderers",52,12,16,21351,0,67,5,12704,570,57,9,42,939,1466,10,418,0,5,2,46,22,46
"Wigan.Athletic",40,9,14,23517,0,67,4,15180,511,71,9,39,914,1196,5,540,0,7,1,50,25,42
"West.Bromwich.Albion",56,12,15,22224,5,52,7,14252,597,102,12,43,725,1088,8,524,0,2,0,38,23,47
"Blackpool",55,10,19,23616,5,47,2,15113,531,97,11,46,780,1616,16,499,0,6,0,49,29,39
"Newcastle.United",56,11,14,22108,2,78,2,14194,507,82,10,62,666,1025,7,527,0,9,0,56,26,46
"Blackburn.Rovers",46,11,17,19421,1,65,5,11178,453,87,10,44,748,1521,8,357,0,8,0,50,26,43
"Everton",51,13,10,22628,2,55,5,14371,580,78,8,47,768,1265,2,525,0,9,0,51,30,54
"Wolverhampton.Wanderers",46,11,20,22772,2,62,2,14823,459,93,14,29,677,1205,7,426,0,5,0,84,19,40
"Chelsea",69,21,9,27426,1,59,1,19236,745,113,21,70,769,762,7,573,0,15,1,84,22,71
"Birmingham.City",37,8,15,21652,4,57,3,14036,401,91,11,30,668,1261,9,375,0,9,1,71,21,39
"West.Ham.United",43,7,19,21823,2,59,1,13367,572,120,18,44,783,1353,9,574,0,5,1,39,41,33
"Swansea.City",44,12,15,28300,2,40,2,20795,472,67,14,36,709,1048,3,518,0,14,2,69,22,47
"Liverpool",47,14,14,26441,3,53,5,18794,667,128,33,66,728,720,2,440,0,12,1,22,19,52
"Manchester.United",89,28,5,28113,2,51,1,20184,646,89,17,64,803,1165,3,521,0,20,1,37,26,89
"Newcastle.United",56,19,11,22210,0,67,2,14638,489,97,19,27,744,987,12,592,0,15,2,59,23,65
"Tottenham.Hotspur",66,20,9,27761,1,43,3,19564,701,93,12,62,733,1045,6,539,0,14,0,28,12,69
"Norwich.City",52,12,15,22830,1,58,3,15165,514,74,7,30,692,1451,9,379,0,3,2,56,20,47
"Stoke.City",36,11,15,18933,3,60,2,10818,376,62,7,33,655,1910,4,460,0,9,0,68,23,45
"Manchester.City",93,28,5,28620,2,51,5,20863,738,85,21,65,694,930,6,480,0,17,1,39,21,89
"Arsenal",74,21,10,28326,5,64,4,20594,637,88,15,74,751,766,3,587,0,13,1,52,27,70
"Bolton.Wanderers",46,10,22,21694,1,50,5,13580,495,55,8,25,732,1255,8,442,0,3,1,58,16,36
"Wigan.Athletic",42,11,17,22943,1,67,3,15715,519,71,13,41,729,925,3,414,0,8,4,42,23,43
"West.Bromwich.Albion",45,13,17,22205,2,48,1,14691,544,128,13,34,683,960,7,419,0,10,2,60,19,47
"Sunderland",45,11,15,21770,2,60,4,13913,458,76,11,39,824,1158,8,423,0,12,1,65,26,45
"Fulham",48,14,14,24891,2,54,0,17669,541,85,24,38,669,1005,4,469,0,11,0,69,26,52
"Aston.Villa",37,7,14,21017,2,70,2,13158,438,85,9,39,774,1301,8,300,0,9,0,41,15,38
"Blackburn.Rovers",48,8,23,20036,4,66,5,12424,453,58,10,37,690,1328,6,370,0,3,1,53,10,31
"Everton",50,15,12,22706,3,60,2,15063,520,116,12,43,624,1130,2,487,0,12,2,57,25,56
"Queens.Park.Rangers",43,10,21,21309,2,54,9,13383,539,83,15,23,764,1412,8,429,0,7,0,26,22,37
"Wolverhampton.Wanderers",40,5,23,22585,2,64,4,14852,473,82,10,29,619,1178,6,425,0,4,2,81,22,25
"Chelsea",65,18,10,26276,1,74,4,18766,671,70,20,37,698,881,10,571,0,10,0,70,17,64
"Queens.Park.Rangers",30,4,21,21941,5,59,3,13632,500,108,9,32,818,1363,8,453,0,7,0,56,37,25
"Southampton",49,9,15,25365,5,43,2,16810,516,86,16,41,819,1275,3,477,0,7,3,56,16,41
"Manchester.United",86,28,5,27254,4,57,1,19686,561,96,24,65,731,1319,5,506,0,13,0,38,28,89
"Liverpool",71,16,9,27722,1,54,2,19802,739,110,19,61,795,914,3,529,0,16,1,38,23,61
"Stoke.City",34,9,14,19824,4,78,4,12287,390,72,12,35,728,1161,3,397,0,12,0,91,6,42
"Tottenham.Hotspur",66,21,8,25155,1,55,2,16647,681,77,17,41,745,1595,6,466,0,9,0,44,30,72
"Aston.Villa",47,10,17,22297,5,72,3,14238,438,97,10,33,741,1520,9,505,0,5,1,101,25,41
"West.Ham.United",45,12,16,20660,1,74,1,12575,492,82,9,38,728,1520,4,493,0,11,0,36,6,46
"Manchester.City",66,23,6,27512,2,62,3,20061,660,75,16,86,683,1068,6,515,0,18,1,28,23,78
"Arsenal",72,21,7,28862,0,42,5,21110,597,80,16,50,748,873,5,411,0,14,1,31,20,73
"Newcastle.United",45,11,19,23005,1,71,4,14599,533,84,12,44,732,1584,5,506,0,6,0,74,38,41
"Swansea.City",47,11,14,27641,1,58,2,19943,504,87,11,42,686,1353,10,361,0,10,1,51,25,46
"Wigan.Athletic",47,9,20,25173,3,66,2,17927,500,83,7,36,716,901,5,418,0,5,1,41,28,36
"West.Bromwich.Albion",53,14,17,21486,3,63,4,14359,506,100,15,39,698,1079,3,455,0,8,1,77,15,49
"Sunderland",41,9,17,20782,4,62,3,13109,417,68,7,30,784,1155,8,423,0,11,0,52,39,39
"Fulham",50,11,17,24744,0,48,3,16940,460,74,19,34,680,1274,7,446,0,8,3,67,24,43
"Norwich.City",41,10,14,20675,3,60,1,13403,413,97,7,40,676,1146,5,387,0,10,2,46,19,44
"Everton",55,16,7,23846,2,59,3,15814,633,100,21,67,720,1172,8,449,0,11,0,61,28,63
"Reading",43,6,22,19613,0,45,1,11806,394,80,9,25,602,1300,12,442,0,5,0,47,37,28
"Chelsea",75,22,7,25949,2,51,3,18417,626,80,8,45,710,981,1,434,0,14,0,53,29,75
"Southampton",54,15,12,28030,1,60,0,19570,534,97,16,37,805,1201,1,522,85,15,0,50,18,56
"Manchester.United",64,19,12,27367,1,66,3,18894,526,97,16,38,676,1382,1,491,103,13,0,32,14,64
"Liverpool",101,26,6,28172,6,54,1,19599,651,78,27,64,848,1339,5,427,107,10,1,36,29,84
"Fulham",40,9,24,22771,5,58,1,14674,431,86,11,45,702,1351,12,483,154,5,0,71,21,32
"Tottenham.Hotspur",55,21,11,26241,3,66,4,17926,588,64,12,64,750,974,3,598,106,14,1,41,38,69
"Aston.Villa",39,10,20,21453,4,78,0,13856,431,84,11,27,747,1068,3,359,110,9,1,102,15,38
"Stoke.City",45,13,14,23324,1,72,5,15324,428,81,14,36,791,1090,2,469,127,9,2,84,17,50
"Manchester.City",102,27,6,28341,2,72,1,20755,673,59,19,59,756,938,0,411,88,16,0,64,31,86
"Arsenal",68,24,7,29825,2,53,4,21561,523,74,15,50,714,1207,3,367,116,17,1,70,27,79
"Swansea.City",54,11,18,29158,1,55,3,21113,496,76,7,20,674,1083,6,400,96,8,0,45,20,42
"Crystal.Palace",33,13,19,20309,2,58,2,11792,414,71,9,31,845,1409,4,361,119,12,0,81,8,45
"West.Bromwich.Albion",43,7,16,22866,2,67,0,14704,487,91,6,35,701,1176,0,514,114,7,2,65,14,36
"Sunderland",41,10,20,21922,6,69,7,14457,491,70,10,29,702,903,3,411,160,11,0,71,20,38
"Newcastle.United",43,15,19,24484,1,53,6,16087,579,78,14,45,736,1110,4,453,108,10,0,51,21,49
"Cardiff.City",32,7,22,22018,0,49,1,14007,418,81,10,30,619,1268,5,490,157,7,0,59,13,30
"Norwich.City",28,8,21,22570,3,62,2,14747,467,48,15,37,675,1071,10,489,125,12,0,72,11,33
"Everton",61,21,8,26857,4,55,1,18301,561,80,14,28,744,1103,2,471,117,15,2,59,14,72
"Hull.City",38,10,21,22985,2,53,4,15264,427,86,16,31,723,1048,6,413,106,10,1,24,24,37
"Chelsea",71,25,6,26541,2,57,3,18266,692,106,19,44,733,1141,2,392,96,18,0,42,16,82
"West.Ham.United",40,11,20,20511,1,62,5,12364,422,76,11,33,651,1401,8,371,151,14,0,54,9,40
"Southampton",54,18,14,25815,0,57,3,18184,509,93,17,44,813,875,4,422,80,15,0,50,15,60
"Manchester.United",62,20,8,29044,1,64,5,21311,512,87,11,43,739,1118,5,393,100,11,1,33,7,70
"Liverpool",52,18,12,27353,2,66,3,19374,590,75,12,34,798,1175,3,468,93,14,2,38,41,62
"Tottenham.Hotspur",58,19,12,27495,2,79,4,19322,527,77,11,39,815,1047,1,552,119,9,1,51,28,64
"Aston.Villa",31,10,20,23785,1,70,7,16527,418,70,5,26,623,1130,2,413,112,10,0,77,18,38
"Stoke.City",48,15,14,23427,0,82,1,15386,500,75,9,32,729,1159,3,428,96,9,0,68,12,54
"Manchester.City",83,24,7,29652,3,77,2,22107,670,78,18,42,751,872,1,546,93,14,1,52,31,79
"Arsenal",71,22,7,29045,1,68,2,20527,610,64,13,51,739,1006,2,476,96,13,0,76,13,75
"Swansea.City",46,16,14,25645,1,48,5,17877,426,80,12,35,634,1203,3,363,141,13,0,91,31,56
"Crystal.Palace",47,13,16,20386,0,63,4,12071,441,77,14,25,791,1270,7,325,94,7,2,77,9,48
"West.Bromwich.Albion",38,11,16,21820,0,64,3,14445,412,65,10,25,696,1084,4,507,131,16,1,76,13,44
"Queens.Park.Rangers",42,8,24,21907,4,75,3,13659,534,81,16,39,781,1445,6,468,142,6,2,57,20,30
"Newcastle.United",40,10,19,23375,1,65,7,15019,468,38,6,34,824,1020,3,466,98,8,0,53,21,39
"Burnley",28,7,19,21624,2,64,2,13632,430,64,13,27,615,1458,8,345,128,10,2,53,15,33
"Everton",48,12,15,26729,2,66,2,18809,483,83,11,32,657,1280,3,461,80,10,0,71,24,47
"Hull.City",33,8,19,22464,0,73,6,14864,428,72,11,22,763,1316,7,443,102,10,2,36,23,35
"Chelsea",73,26,3,27861,1,73,4,20268,564,75,15,40,759,1027,2,476,90,17,0,73,13,87
"Leicester.City",46,11,19,21547,5,49,4,13343,456,60,12,44,791,1177,2,355,124,10,0,38,26,41
"Sunderland",31,7,14,22037,5,94,2,14451,408,69,11,23,759,994,3,411,144,13,0,82,17,38
"West.Ham.United",44,12,15,21793,2,64,2,13568,488,91,13,37,647,1474,3,404,133,9,3,52,15,47
