Rank;Team;GD;Point;Point (Rounding);GD(Rounding)
1;Arsenal;25.353;79.37;80;26
2;Leicester;6.0845;65.41;66;7
3;Chelsea;-3.8354;63.107;64;-4
4;Manchester City;24.554;58.449;59;25
5;Everton;-2.4664;55.896;56;-3
6;West Ham;-3.9816;55.353;56;-4
7;Tottenham;8.8629;54.491;55;9
8;Manchester United;6.7536;52.609;53;7
9;Liverpool;-5.4588;49.704;50;-6
10;Sunderland;-20.583;49.16;50;-21
11;Bournemouth;-8.5416;47.13;48;-9
12;West Bromwich Albion;0.4755;45.492;46;1
13;Southampton;16.854;45.224;46;17
14;Newcastle United;-15.602;44.645;45;-16
15;Swansea;-19.883;43.981;44;-20
16;Stoke;-14.276;41.618;42;-15
17;Norwich;-31.625;40.955;41;-32
18;Crystal Palace;-9.8953;39.574;40;-10
19;Aston Villa;-35.487;27.067;28;-36
20;Watford;-37.304;24.655;25;-38
